title:firstRecord, start timestamp:1673442414.034679, stop timestamp:1673442424.097179, headset type:EPOCX, headset serial:DCB36C84, headset firmware:710, channels:55, sampling rate:eeg_128, samples:1289      , version:2.1, 
Timestamp,EEG.Counter,EEG.Interpolated,EEG.AF3,EEG.F7,EEG.F3,EEG.FC5,EEG.T7,EEG.P7,EEG.O1,EEG.O2,EEG.P8,EEG.T8,EEG.FC6,EEG.F4,EEG.F8,EEG.AF4,EEG.RawCq,EEG.Battery,EEG.BatteryPercent,MarkerIndex,MarkerType,MarkerValueInt,EEG.MarkerHardware,CQ.AF3,CQ.F7,CQ.F3,CQ.FC5,CQ.T7,CQ.P7,CQ.O1,CQ.O2,CQ.P8,CQ.T8,CQ.FC6,CQ.F4,CQ.F8,CQ.AF4,CQ.Overall,EQ.SampleRateQuality,EQ.OVERALL,EQ.AF3,EQ.F7,EQ.F3,EQ.FC5,EQ.T7,EQ.P7,EQ.O1,EQ.O2,EQ.P8,EQ.T8,EQ.FC6,EQ.F4,EQ.F8,EQ.AF4
1673442414.112804,112.000000,0.000000,4362.820313,4354.615234,4353.717773,4370.897461,4396.153809,4340.384766,4327.307617,4324.358887,4317.307617,4300.641113,4496.538574,4432.436035,4414.230957,4470.769043,0.000000,3.000000,80.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,
1673442414.120617,113.000000,0.000000,4364.358887,4355.128418,4357.051270,4373.846191,4393.333496,4341.922852,4327.820313,4332.948730,4321.025879,4306.922852,4504.358887,4439.615234,4421.794922,4474.230957,0.000000,3.000000,80.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,
1673442414.128429,114.000000,0.000000,4366.025879,4356.410156,4361.153809,4377.948730,4394.358887,4350.128418,4335.512695,4339.871582,4327.563965,4310.128418,4510.769043,4447.179688,4425.769043,4481.282227,0.000000,3.000000,80.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,
1673442414.136242,115.000000,0.000000,4361.666504,4352.051270,4357.692383,4374.615234,4393.846191,4353.589844,4337.948730,4336.410156,4329.358887,4303.333496,4502.436035,4445.256348,4417.948730,4473.717773,0.000000,3.000000,80.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,
1673442414.144054,116.000000,0.000000,4352.563965,4347.436035,4350.000000,4363.077148,4392.307617,4347.179688,4336.538574,4329.487305,4321.666504,4295.128418,4488.846191,4433.974121,4405.769043,4462.307617,0.000000,3.000000,80.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,
1673442414.151867,117.000000,0.000000,4346.922852,4344.102539,4346.794922,4356.410156,4390.000000,4342.692383,4339.743652,4327.179688,4313.333496,4293.461426,4486.410156,4425.256348,4400.641113,4457.179688,0.000000,3.000000,80.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,
1673442414.159679,118.000000,0.000000,4349.487305,4340.512695,4347.563965,4362.051270,4384.487305,4343.846191,4341.410156,4330.641113,4314.102539,4292.563965,4490.000000,4430.512695,4401.025879,4459.358887,0.000000,3.000000,80.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,
1673442414.167492,119.000000,0.000000,4356.153809,4345.512695,4351.922852,4368.461426,4387.179688,4344.230957,4341.410156,4336.153809,4322.948730,4299.102539,4495.769043,4442.948730,4404.358887,4467.436035,0.000000,3.000000,80.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,
1673442414.175304,120.000000,0.000000,4361.153809,4355.000000,4357.820313,4370.384766,4395.256348,4343.846191,4343.333496,4341.922852,4330.000000,4307.948730,4504.871582,4448.333496,4412.948730,4476.410156,0.000000,3.000000,80.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,
1673442414.183117,121.000000,0.000000,4360.000000,4352.820313,4356.282227,4371.282227,4394.487305,4342.563965,4343.077148,4340.128418,4326.025879,4304.230957,4505.897461,4443.461426,4414.615234,4474.615234,0.000000,3.000000,80.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,
1673442414.190929,122.000000,0.000000,4350.128418,4338.333496,4351.153809,4366.922852,4390.769043,4340.512695,4342.179688,4335.641113,4320.384766,4294.487305,4491.666504,4437.563965,4401.538574,4465.000000,0.000000,3.000000,80.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,
1673442414.198742,123.000000,0.000000,4347.307617,4337.179688,4353.717773,4362.307617,4391.410156,4340.512695,4339.230957,4333.205078,4318.589844,4293.461426,4485.000000,4437.692383,4396.538574,4466.666504,0.000000,3.000000,80.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,
1673442414.206554,124.000000,0.000000,4363.717773,4354.487305,4361.666504,4369.230957,4389.230957,4341.666504,4334.102539,4326.794922,4314.615234,4295.256348,4497.051270,4441.153809,4416.666504,4476.410156,0.000000,3.000000,80.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,
1673442414.214367,125.000000,0.000000,4377.563965,4366.025879,4365.769043,4379.487305,4387.051270,4342.307617,4333.846191,4325.128418,4317.692383,4298.717773,4508.461426,4445.512695,4436.153809,4485.769043,0.000000,3.000000,80.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,
1673442414.222179,126.000000,0.000000,4385.000000,4368.846191,4372.307617,4380.000000,4389.487305,4342.436035,4338.717773,4332.436035,4324.871582,4302.563965,4511.794922,4453.589844,4442.563965,4499.230957,0.000000,3.000000,80.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,
1673442414.229992,127.000000,0.000000,4397.179688,4378.205078,4381.794922,4378.589844,4385.256348,4338.333496,4339.230957,4334.487305,4322.948730,4304.487305,4519.102539,4462.051270,4453.717773,4511.794922,0.000000,3.000000,80.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,
1673442414.237804,0.000000,0.000000,4399.871582,4381.538574,4381.025879,4378.717773,4377.563965,4332.563965,4335.128418,4332.948730,4321.282227,4308.205078,4524.487305,4463.461426,4463.974121,4512.948730,0.000000,3.000000,80.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,
1673442414.245617,1.000000,0.000000,4387.051270,4366.538574,4366.794922,4373.461426,4379.102539,4331.922852,4337.436035,4335.641113,4323.589844,4307.563965,4516.794922,4455.512695,4455.384766,4502.307617,0.000000,3.000000,80.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,
1673442414.253429,2.000000,0.000000,4377.051270,4357.307617,4356.410156,4366.410156,4379.743652,4334.487305,4343.077148,4336.410156,4322.179688,4299.743652,4506.282227,4445.769043,4443.333496,4493.589844,0.000000,3.000000,80.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,1.000000,100.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000
1673442414.261242,3.000000,0.000000,4375.897461,4357.307617,4357.307617,4362.820313,4377.692383,4335.384766,4341.922852,4333.846191,4321.282227,4296.538574,4501.153809,4442.563965,4443.717773,4489.487305,0.000000,3.000000,80.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,
1673442414.269054,4.000000,0.000000,4374.358887,4353.589844,4358.846191,4360.000000,4377.948730,4335.769043,4338.589844,4334.358887,4321.410156,4300.128418,4498.205078,4443.589844,4445.000000,4485.897461,0.000000,3.000000,80.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,
1673442414.276867,5.000000,0.000000,4373.589844,4357.436035,4359.615234,4360.384766,4379.230957,4335.641113,4341.282227,4340.000000,4320.128418,4298.974121,4502.179688,4444.102539,4446.153809,4485.128418,0.000000,3.000000,80.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,
1673442414.284679,6.000000,0.000000,4377.948730,4366.410156,4365.641113,4367.307617,4383.205078,4337.051270,4344.230957,4343.974121,4323.846191,4297.820313,4509.102539,4451.025879,4457.692383,4488.589844,0.000000,3.000000,80.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,
1673442414.292492,7.000000,0.000000,4380.641113,4367.051270,4371.282227,4372.692383,4383.333496,4337.820313,4342.948730,4341.538574,4326.153809,4299.358887,4510.000000,4460.384766,4461.922852,4491.282227,0.000000,3.000000,80.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,
1673442414.300304,8.000000,0.000000,4382.307617,4365.897461,4375.641113,4375.128418,4379.615234,4333.717773,4340.769043,4338.333496,4319.871582,4297.820313,4507.820313,4461.666504,4448.717773,4490.769043,0.000000,3.000000,80.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,
